id,title,year,vote_count,vote_average,popularity,genres,w_ratings
862,Toy Story,1995,5415.0,7.7,21.946943,"['Animation', 'Comedy', 'Family']",7.62953963371929
8844,Jumanji,1995,2413.0,6.9,17.015539,"['Adventure', 'Fantasy', 'Family']",6.7970786855752205
11862,Father of the Bride Part II,1995,173.0,5.7,8.387519,['Comedy'],5.481331705660786
949,Heat,1995,1886.0,7.7,17.924927,"['Action', 'Crime', 'Drama', 'Thriller']",7.508007555222405
9091,Sudden Death,1995,174.0,5.5,5.23158,"['Action', 'Adventure', 'Thriller']",5.377794784386353
710,GoldenEye,1995,1194.0,6.6,14.686036,"['Adventure', 'Action', 'Thriller']",6.4398696144645795
9087,The American President,1995,199.0,6.5,6.318445,"['Comedy', 'Drama', 'Romance']",5.940622445640784
12110,Dracula: Dead and Loving It,1995,210.0,5.7,5.430331,"['Comedy', 'Horror']",5.5031985350947075
21032,Balto,1995,423.0,7.1,12.140733,"['Family', 'Animation', 'Adventure']",6.590880716955474
524,Casino,1995,1343.0,7.8,10.137389,"['Drama', 'Crime']",7.527999639377938
4584,Sense and Sensibility,1995,364.0,7.2,10.673167,"['Drama', 'Romance']",6.603021866383668
5,Four Rooms,1995,539.0,6.5,9.026586,"['Crime', 'Comedy']",6.2127088097067835
9273,Ace Ventura: When Nature Calls,1995,1128.0,6.1,8.205448,"['Crime', 'Comedy', 'Adventure']",5.99377597669646
11517,Money Train,1995,224.0,5.4,7.337906,"['Action', 'Comedy', 'Crime']",5.335373588502714
8012,Get Shorty,1995,305.0,6.4,12.669608,"['Comedy', 'Thriller', 'Crime']",6.002545070935574
1710,Copycat,1995,199.0,6.5,10.701801,"['Drama', 'Thriller']",5.940622445640784
9691,Assassins,1995,394.0,6.0,11.065939,"['Action', 'Adventure', 'Crime', 'Thriller']",5.781919599250978
451,Leaving Las Vegas,1995,365.0,7.1,10.332025,"['Drama', 'Romance']",6.534635158066745
902,The City of Lost Children,1995,308.0,7.6,9.822423,"['Fantasy', 'Science Fiction', 'Adventure']",6.794836448685986
9909,Dangerous Minds,1995,249.0,6.4,9.481338,"['Drama', 'Crime']",5.9481258141443565
63,Twelve Monkeys,1995,2470.0,7.4,12.297305,"['Science Fiction', 'Thriller', 'Mystery']",7.268891048663514
9598,Babe,1995,756.0,6.0,14.404764,"['Fantasy', 'Drama', 'Comedy', 'Family']",5.868104211774063
687,Dead Man Walking,1995,350.0,7.3,6.891317,['Drama'],6.655261682323611
9603,Clueless,1995,828.0,6.9,9.882383,"['Comedy', 'Drama', 'Romance']",6.631967062737898
9312,Mortal Kombat,1995,452.0,5.4,10.870138,"['Action', 'Fantasy']",5.359450094746801
577,To Die For,1995,177.0,6.7,10.448481,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",6.009149726958581
807,Se7en,1995,5915.0,8.1,18.45743,"['Crime', 'Mystery', 'Thriller']",8.024803861396714
10530,Pocahontas,1995,1509.0,6.7,13.280069,"['Adventure', 'Animation', 'Drama', 'Family']",6.560505367276837
629,The Usual Suspects,1995,3334.0,8.1,16.302466,"['Drama', 'Crime', 'Thriller']",7.969256856893257
11010,The Postman,1994,181.0,7.6,10.168437,"['Comedy', 'Drama', 'Romance']",6.494966152448802
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,192.0,6.2,11.700115,['Comedy'],5.765862096548414
10634,Friday,1995,513.0,7.0,14.56965,['Comedy'],6.582739164910908
755,From Dusk Till Dawn,1996,1644.0,6.9,15.339153,"['Horror', 'Action', 'Thriller', 'Crime']",6.75320590797397
2086,Nick of Time,1995,190.0,6.1,6.848591,"['Crime', 'Drama', 'Thriller']",5.709095594242976
9208,Broken Arrow,1996,459.0,5.7,14.957626,"['Action', 'Adventure', 'Drama', 'Thriller']",5.582364229378096
406,La Haine,1995,695.0,7.9,12.108196,['Drama'],7.403138547350927
13685,Bottle Rocket,1996,285.0,6.8,6.904831,"['Comedy', 'Crime', 'Drama']",6.240861703337172
9614,Happy Gilmore,1996,767.0,6.5,9.592265,['Comedy'],6.283369426089581
688,The Bridges of Madison County,1995,397.0,7.3,5.951077,"['Drama', 'Romance']",6.709665095125748
197,Braveheart,1995,3404.0,7.7,20.755149,"['Action', 'Drama', 'History', 'War']",7.589782115035085
103,Taxi Driver,1976,2632.0,8.1,14.092713,"['Crime', 'Drama']",7.936383760023296
33542,Rumble in the Bronx,1995,245.0,6.5,12.314278,"['Crime', 'Action', 'Comedy', 'Thriller']",6.004156686382819
11104,Chungking Express,1994,249.0,7.9,6.778979,"['Drama', 'Comedy', 'Romance']",6.8613287481296865
11000,The Birdcage,1996,303.0,6.7,6.49968,['Comedy'],6.197156496727952
9737,Bad Boys,1995,1729.0,6.5,9.262184,"['Action', 'Comedy', 'Crime', 'Thriller']",6.393691613544225
10474,The Basketball Diaries,1995,472.0,7.2,7.415144,"['Drama', 'Crime']",6.70503711706494
568,Apollo 13,1995,1637.0,7.3,18.761467,['Drama'],7.117019175283829
414,Batman Forever,1995,1529.0,5.2,13.321354,"['Action', 'Crime', 'Fantasy']",5.204253083472493
649,Belle de Jour,1967,163.0,7.3,10.142662,"['Drama', 'Romance']",6.2819921299846495
8839,Casper,1995,1045.0,6.0,12.812539,"['Fantasy', 'Comedy', 'Family']",5.899737309531155
10329,Congo,1995,214.0,5.0,7.260574,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']",5.10476860423808
8963,Crimson Tide,1995,508.0,7.0,8.657365,"['Action', 'Thriller', 'Drama']",6.579615955067428
8068,Desperado,1995,898.0,6.8,6.950458,"['Thriller', 'Action', 'Crime']",6.564823684295881
1572,Die Hard: With a Vengeance,1995,2094.0,6.9,15.138855,"['Action', 'Thriller']",6.782512625547933
6520,First Knight,1995,319.0,5.9,15.178338,"['Action', 'Adventure', 'Drama', 'Romance']",5.681176321471904
10428,Hackers,1995,406.0,6.2,14.810519,"['Action', 'Crime', 'Thriller', 'Drama']",5.930006109514208
9886,Johnny Mnemonic,1995,380.0,5.5,11.715868,"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']",5.424413811083411
9482,Judge Dredd,1995,643.0,5.4,8.184815,['Science Fiction'],5.369095215423465
9344,Kids,1995,280.0,6.8,4.877872,"['Drama', 'Crime']",6.234507859056913
2293,Mallrats,1995,400.0,6.8,8.25547,"['Romance', 'Comedy']",6.3556847464018595
1642,The Net,1995,359.0,5.6,13.304342,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']",5.490526893998153
11472,Nine Months,1995,171.0,5.5,8.482834,['Comedy'],5.376687184244839
10802,Showgirls,1995,261.0,4.9,17.502375,['Drama'],5.031077097351643
9348,Species,1995,457.0,5.5,13.492845,"['Science Fiction', 'Horror', 'Action']",5.433846771450635
281,Strange Days,1995,334.0,6.8,11.223055,"['Crime', 'Drama', 'Science Fiction', 'Thriller']",6.296322789443405
3512,Under Siege 2: Dark Territory,1995,217.0,5.6,7.490247,"['Action', 'Thriller']",5.449292992002763
9560,A Walk in the Clouds,1995,168.0,6.5,9.715639,"['Drama', 'Romance']",5.887754445076347
9804,Waterworld,1995,1017.0,5.9,16.885184,"['Adventure', 'Action']",5.810946013581174
